,Country,Code,Year,Life expectancy,GDP per capita,"Total population (Gapminder, HYDE & UN)",Continent
92,Mali,MLI,2015,57.50899999999999,1553.0,17439000.0,Africa
93,Malta,MLT,2015,81.896,28700.0,434000.0,Europe
94,Mauritania,MRT,2015,63.93600000000001,3424.0,4046000.0,Africa
95,Mauritius,MUS,2015,74.5,18322.0,1259000.0,Africa
96,Mexico,MEX,2015,74.904,16096.0,121858000.0,North America
97,Moldova,MDA,2015,71.47800000000001,5775.0,4071000.0,Europe
98,Mongolia,MNG,2015,69.111,12398.0,2998000.0,Asia
99,Montenegro,MNE,2015,76.452,17249.0,627000.0,Europe
100,Morocco,MAR,2015,75.726,8001.0,34664000.0,Africa
101,Mozambique,MOZ,2015,57.206,1103.0,27042000.0,Africa
102,Myanmar,MMR,2015,65.81,5021.0,52681000.0,Asia
103,Namibia,NAM,2015,62.119,9462.0,2315000.0,Africa
104,Nepal,NPL,2015,69.515,2455.0,27015000.0,Asia
105,Netherlands,NLD,2015,81.715,44869.0,16938000.0,Europe
106,New Zealand,NZL,2015,81.71300000000001,33696.0,4615000.0,Oceania
107,Nicaragua,NIC,2015,73.649,4866.0,6223000.0,North America
108,Niger,NER,2015,60.631,913.0,20002000.0,Africa
109,Nigeria,NGA,2015,53.111999999999995,5578.0,181136992.0,Africa
110,North Korea,PRK,2015,71.48100000000001,1762.52,25184000.0,Asia
111,North Macedonia,MKD,2015,75.406,12371.0,2079000.0,Europe
112,Norway,NOR,2015,81.91199999999999,82713.0,5200000.0,Europe
113,Oman,OMN,2015,76.887,38738.0,4267000.0,Asia
114,Pakistan,PAK,2015,66.577,5030.0,199427008.0,Asia
115,Palestine,PSE,2015,73.442,5003.0,4529000.0,Asia
116,Panama,PAN,2015,77.77600000000001,20723.0,3968000.0,North America
117,Paraguay,PRY,2015,73.66199999999999,8539.0,6689000.0,South America
118,Peru,PER,2015,75.792,11445.0,30471000.0,South America
119,Philippines,PHL,2015,70.64399999999999,7047.0,102113000.0,Asia
120,Poland,POL,2015,77.859,24177.0,38034000.0,Europe
121,Portugal,PRT,2015,81.22399999999999,24915.0,10368000.0,Europe
122,Puerto Rico,PRI,2015,79.52,35384.0,3382000.0,North America
123,Qatar,QAT,2015,79.758,156029.0,2566000.0,Asia
124,Romania,ROU,2015,75.476,19320.0,19925000.0,Europe
125,Russia,RUS,2015,71.464,23691.0,144984992.0,Europe
126,Rwanda,RWA,2015,67.45,1693.0,11369000.0,Africa
127,Saint Lucia,LCA,2015,75.596,10185.0,179000.0,North America
128,Sao Tome and Principe,STP,2015,69.377,3545.0,199000.0,Africa
129,Saudi Arabia,SAU,2015,74.65100000000001,51681.0,31718000.0,Asia
130,Senegal,SEN,2015,66.747,2311.0,14578000.0,Africa
131,Serbia,SRB,2015,75.309,12765.0,8877000.0,Europe
132,Seychelles,SYC,2015,73.182,25690.0,95000.0,Africa
133,Sierra Leone,SLE,2015,52.941,1563.0,7172000.0,Africa
134,Singapore,SGP,2015,82.87700000000001,65660.0,5592000.0,Asia
135,Slovakia,SVK,2015,76.827,24588.0,5436000.0,Europe
136,Slovenia,SVN,2015,80.673,26268.0,2071000.0,Europe
137,South Africa,ZAF,2015,62.648999999999994,12246.0,55386000.0,Africa
138,South Korea,KOR,2015,82.1,35269.0,50823000.0,Asia
139,Spain,ESP,2015,82.98100000000001,31847.0,46672000.0,Europe
140,Sri Lanka,LKA,2015,76.316,10763.0,20908000.0,Asia
141,Sudan,SDN,2015,64.429,3625.0,38903000.0,Africa
142,Sweden,SWE,2015,82.251,43746.0,9765000.0,Europe
143,Switzerland,CHE,2015,83.14200000000001,59307.0,8297000.0,Europe
144,Syria,SYR,2015,69.908,3049.0,17997000.0,Asia
145,Taiwan,TWN,2015,79.743,41668.0,23557000.0,Asia
146,Tajikistan,TJK,2015,70.137,3789.0,8454000.0,Asia
147,Tanzania,TZA,2015,63.111000000000004,2566.0,51483000.0,Africa
148,Thailand,THA,2015,76.09100000000001,15020.0,68715000.0,Asia
149,Togo,TGO,2015,59.927,1370.0,7323000.0,Africa
150,Trinidad and Tobago,TTO,2015,72.941,30702.0,1370000.0,North America
151,Tunisia,TUN,2015,75.922,11060.0,11180000.0,Africa
152,Turkey,TUR,2015,76.532,19836.0,78529000.0,Asia
153,Turkmenistan,TKM,2015,67.704,22675.0,5565000.0,Asia
154,Uganda,UGA,2015,61.373000000000005,1954.0,38225000.0,Africa
155,Ukraine,UKR,2015,71.535,8961.0,44922000.0,Europe
156,United Arab Emirates,ARE,2015,77.285,74746.0,9263000.0,Asia
157,United Kingdom,GBR,2015,81.05199999999999,36941.0,65860000.0,Europe
158,United States,USA,2015,78.91,52591.0,320878016.0,North America
159,Uruguay,URY,2015,77.369,19244.0,3412000.0,South America
160,Uzbekistan,UZB,2015,70.928,9720.0,30930000.0,Asia
161,Venezuela,VEN,2015,72.584,18802.0,30082000.0,South America
162,Vietnam,VNM,2015,75.11,5763.0,92677000.0,Asia
163,Yemen,YEM,2015,66.085,2844.0,26498000.0,Asia
164,Zambia,ZMB,2015,61.736999999999995,3478.0,15879000.0,Africa
165,Zimbabwe,ZWE,2015,59.534,1560.0,13815000.0,Africa
