MONTH,MLY-TAVG-NORMAL,MLY-PRCP-NORMAL
Jan,19.0,0.5
Feb,22.7,1.1
Mar,27.1,1.4
Apr,29.9,2.5
May,30.6,5.0
Jun,29.5,10.9
Jul,28.1,14.4
Aug,27.9,12.3
Sep,27.6,10.2
Oct,26.3,5.3
Nov,23.3,1.3
Dec,20.1,0.4
